AcademicYear,SchoolName,SuspensionRate,DefianceRate,ViolentInjuryRate,ViolentNonInjuryRate,WeaponPossessionRate,DrugSuspensionRate,OtherSuspensionRate
2020-01-08,"Madrone High Continuation",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Manor Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Marin County Juvenile Court",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Marin County Special Education",2.4096,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2020-01-08,"Marin Oaks High",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Marin's Community",1.7544,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2020-01-08,"Mary E. Silveira Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Mill Valley Middle",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Miller Creek Middle",2.1898,0.0000,0.0000,66.6667,0.0000,33.3333,0.0000
2020-01-08,"Neil Cummins Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,Nicasio,0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Nova Education Center",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Novato High",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Old Mill Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Olive Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Park Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Pleasant Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Rancho Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Redwood High",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Reed Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Ross Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"San Andreas High (Continuation)",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"San Geronimo Valley Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"San Jose Intermediate",0.3165,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2020-01-08,"San Marin High",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"San Pedro Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"San Rafael High",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"San Ramon Elementary",0.9174,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2020-01-08,"Sinaloa Middle",0.3676,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2020-01-08,"Strawberry Point Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Sun Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Tamalpais High",0.4950,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
2020-01-08,"Tamalpais Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Tamiscal High (Alternative)",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
