AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2020-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",Total,45,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ",Total,233,11,7,0,3,9,0,1,0,0
2020-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin's Community","No ",Total,86,1,1,0,1.2,0,1,0,0,0
2020-01-08,S,21,10215,1,Marin,"Marin County Office of Education","Nonpublic, Nonsectarian Schools","No ",Total,33,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,Total,29,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65391,6024418,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ",Total,506,3,2,2,0.4,0,0,0,0,3
2020-01-08,S,21,65391,6085187,Marin,"Mill Valley Elementary","Mill Valley Middle","No ",Total,969,3,3,1,0.3,0,0,1,1,1
2020-01-08,S,21,65391,1,Marin,"Mill Valley Elementary","Nonpublic, Nonsectarian Schools","No ",Total,6,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65391,6024442,Marin,"Mill Valley Elementary","Old Mill Elementary","No ",Total,287,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65391,6024459,Marin,"Mill Valley Elementary","Park Elementary","No ",Total,279,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65391,6024467,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ",Total,276,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65391,6024475,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ",Total,437,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65318,6024160,Marin,"Miller Creek Elementary","Lucas Valley Elementary","No ",Total,359,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65318,6024194,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ",Total,479,0,0,0,0,0,0,0,0,0
